               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.013069,           0.0052329,            0.010392,             0.93049,             0.94265,             0.97689,             0.87982,           0.0064997,           0.0018611,           0.0025648,            0.004951,            0.004951,            0.004951
                  53,            0.012933,           0.0051902,            0.010376,             0.93157,              0.9434,             0.97738,             0.88091,           0.0064687,           0.0018538,           0.0025334,            0.004852,            0.004852,            0.004852
                  54,            0.012883,           0.0051839,            0.010294,             0.93234,              0.9444,             0.97781,             0.88233,           0.0064394,           0.0018463,              0.0025,            0.004753,            0.004753,            0.004753
                  55,            0.012912,           0.0052071,            0.010052,              0.9336,             0.94438,              0.9781,             0.88325,            0.006416,           0.0018421,           0.0024714,            0.004654,            0.004654,            0.004654
                  56,            0.012847,           0.0051363,            0.010187,               0.935,             0.94331,              0.9784,             0.88437,           0.0063906,            0.001836,             0.00245,            0.004555,            0.004555,            0.004555
                  57,            0.012893,           0.0051622,            0.010043,             0.93444,             0.94523,             0.97877,              0.8852,           0.0063717,           0.0018311,           0.0024282,            0.004456,            0.004456,            0.004456
                  58,            0.012746,            0.005151,            0.010021,             0.93688,             0.94508,             0.97901,             0.88662,           0.0063468,           0.0018259,           0.0024027,            0.004357,            0.004357,            0.004357
                  59,            0.012648,           0.0050999,            0.010134,             0.93923,             0.94479,             0.97945,             0.88749,           0.0063186,           0.0018187,           0.0023693,            0.004258,            0.004258,            0.004258
                  60,            0.012674,           0.0051166,            0.010027,             0.93898,             0.94447,             0.97982,             0.88818,           0.0063019,           0.0018124,           0.0023424,            0.004159,            0.004159,            0.004159
                  61,            0.012393,           0.0050562,           0.0099236,             0.93921,             0.94511,             0.98022,             0.88884,           0.0062804,           0.0018056,           0.0023151,             0.00406,             0.00406,             0.00406
                  62,             0.01246,           0.0050486,           0.0096882,             0.93934,             0.94478,              0.9805,             0.89023,           0.0062522,            0.001798,           0.0022918,            0.003961,            0.003961,            0.003961
                  63,            0.012472,           0.0050219,           0.0097427,             0.94026,             0.94652,              0.9808,             0.89115,            0.006223,           0.0017891,           0.0022737,            0.003862,            0.003862,            0.003862
                  64,            0.012188,           0.0050153,           0.0097142,             0.93957,             0.94786,             0.98094,             0.89205,           0.0061971,           0.0017813,           0.0022531,            0.003763,            0.003763,            0.003763
                  65,            0.012113,           0.0049952,           0.0096338,             0.93955,             0.94905,             0.98119,             0.89326,           0.0061732,           0.0017733,           0.0022393,            0.003664,            0.003664,            0.003664
                  66,            0.012182,           0.0049522,           0.0096419,             0.93825,             0.95003,             0.98135,             0.89393,           0.0061489,           0.0017661,           0.0022298,            0.003565,            0.003565,            0.003565
                  67,             0.01213,           0.0049378,              0.0096,             0.93915,             0.94989,             0.98139,             0.89479,           0.0061242,           0.0017598,           0.0022172,            0.003466,            0.003466,            0.003466
                  68,            0.012049,           0.0049163,           0.0094455,             0.93813,             0.95146,             0.98155,             0.89538,           0.0061002,           0.0017526,           0.0022042,            0.003367,            0.003367,            0.003367
                  69,             0.01184,           0.0048774,           0.0093072,             0.93727,             0.95317,             0.98166,              0.8961,           0.0060826,            0.001747,           0.0021954,            0.003268,            0.003268,            0.003268
                  70,             0.01169,           0.0048875,           0.0091598,             0.93781,             0.95375,             0.98186,             0.89652,           0.0060625,           0.0017408,           0.0021781,            0.003169,            0.003169,            0.003169
                  71,            0.011784,           0.0048546,           0.0091947,             0.93828,             0.95358,             0.98203,             0.89751,           0.0060384,           0.0017363,           0.0021572,             0.00307,             0.00307,             0.00307
                  72,            0.011792,           0.0048228,           0.0090836,             0.94019,             0.95087,             0.98225,             0.89831,           0.0060136,           0.0017304,           0.0021303,            0.002971,            0.002971,            0.002971
                  73,            0.011595,           0.0047791,           0.0091898,             0.94165,             0.95005,             0.98238,             0.89973,           0.0059891,           0.0017235,           0.0021125,            0.002872,            0.002872,            0.002872
                  74,            0.011594,           0.0047872,           0.0090659,             0.94444,             0.94874,             0.98265,             0.90096,           0.0059672,           0.0017171,           0.0020859,            0.002773,            0.002773,            0.002773
                  75,            0.011453,           0.0047815,           0.0090407,             0.94871,             0.94696,             0.98281,             0.90177,           0.0059447,           0.0017127,           0.0020589,            0.002674,            0.002674,            0.002674
                  76,            0.011341,           0.0047331,           0.0087778,              0.9484,             0.94814,              0.9831,             0.90256,           0.0059223,           0.0017076,            0.002033,            0.002575,            0.002575,            0.002575
                  77,             0.01126,           0.0047073,           0.0088837,             0.94472,             0.95266,             0.98323,               0.903,           0.0058975,           0.0017025,            0.002012,            0.002476,            0.002476,            0.002476
                  78,            0.011276,           0.0046659,           0.0086278,             0.94318,             0.95352,             0.98335,             0.90398,           0.0058734,           0.0016961,           0.0019973,            0.002377,            0.002377,            0.002377
                  79,            0.011015,           0.0046478,            0.008527,             0.94599,             0.95223,             0.98343,             0.90479,           0.0058548,           0.0016898,           0.0019859,            0.002278,            0.002278,            0.002278
                  80,             0.01092,           0.0046398,           0.0083642,             0.94839,             0.95153,             0.98347,             0.90557,           0.0058339,           0.0016845,           0.0019681,            0.002179,            0.002179,            0.002179
                  81,            0.010829,           0.0045999,           0.0084174,             0.94885,             0.95144,             0.98363,             0.90641,           0.0058109,           0.0016783,           0.0019466,             0.00208,             0.00208,             0.00208
                  82,            0.010756,           0.0045629,           0.0082833,             0.94862,             0.95242,             0.98395,             0.90704,           0.0057886,           0.0016724,           0.0019215,            0.001981,            0.001981,            0.001981
                  83,            0.010655,           0.0045353,            0.008256,             0.94836,             0.95346,             0.98412,             0.90773,           0.0057647,           0.0016669,           0.0019011,            0.001882,            0.001882,            0.001882
                  84,            0.010534,           0.0045032,           0.0079787,             0.94768,             0.95401,             0.98426,             0.90847,           0.0057406,           0.0016599,           0.0018778,            0.001783,            0.001783,            0.001783
                  85,            0.010448,           0.0044658,            0.008094,             0.94897,             0.95428,             0.98444,             0.90935,           0.0057129,           0.0016533,           0.0018581,            0.001684,            0.001684,            0.001684
                  86,            0.010342,           0.0044362,            0.007866,             0.95164,             0.95265,             0.98452,             0.90997,           0.0056855,           0.0016483,           0.0018458,            0.001585,            0.001585,            0.001585
                  87,             0.01022,           0.0044091,           0.0078858,              0.9499,             0.95378,             0.98468,             0.91097,           0.0056598,           0.0016412,           0.0018295,            0.001486,            0.001486,            0.001486
                  88,            0.010195,            0.004395,           0.0077014,             0.95098,             0.95418,             0.98472,             0.91176,           0.0056319,           0.0016333,           0.0018202,            0.001387,            0.001387,            0.001387
                  89,            0.010032,           0.0043547,           0.0076181,             0.95194,             0.95393,             0.98484,             0.91257,           0.0056072,           0.0016254,            0.001806,            0.001288,            0.001288,            0.001288
                  90,           0.0097938,           0.0042966,           0.0073441,             0.95196,             0.95429,             0.98499,             0.91358,           0.0055796,           0.0016181,           0.0017924,            0.001189,            0.001189,            0.001189
                  91,           0.0096964,           0.0042794,           0.0074268,             0.95225,              0.9549,              0.9851,             0.91507,           0.0055517,           0.0016122,            0.001777,             0.00109,             0.00109,             0.00109
                  92,            0.009559,           0.0042297,           0.0072886,             0.95307,             0.95495,             0.98519,              0.9161,           0.0055298,           0.0016059,            0.001757,            0.000991,            0.000991,            0.000991
                  93,           0.0093624,            0.004165,           0.0071329,              0.9564,             0.95329,             0.98548,             0.91741,           0.0055046,           0.0015977,           0.0017314,            0.000892,            0.000892,            0.000892
                  94,           0.0093091,            0.004153,            0.007053,               0.941,             0.96905,             0.98573,             0.91884,            0.005476,           0.0015895,            0.001712,            0.000793,            0.000793,            0.000793
                  95,           0.0091344,           0.0041094,           0.0069424,             0.94302,             0.96902,             0.98592,             0.92015,           0.0054517,           0.0015817,           0.0016885,            0.000694,            0.000694,            0.000694
                  96,           0.0089647,           0.0040573,           0.0066477,             0.94474,             0.96839,             0.98616,             0.92128,           0.0054191,            0.001573,           0.0016639,            0.000595,            0.000595,            0.000595
                  97,           0.0088161,           0.0040174,           0.0066976,              0.9475,             0.96597,             0.98633,             0.92201,           0.0053899,           0.0015649,           0.0016453,            0.000496,            0.000496,            0.000496
                  98,            0.008677,           0.0039826,           0.0066405,             0.95133,             0.96318,             0.98648,             0.92319,           0.0053638,           0.0015566,           0.0016279,            0.000397,            0.000397,            0.000397
                  99,           0.0086032,           0.0039255,           0.0065789,             0.95038,             0.96512,             0.98657,              0.9246,           0.0053361,           0.0015499,           0.0016139,            0.000298,            0.000298,            0.000298
